TYTUŁ,CENA,LINK,DATA
Asus Zenbook S13 R7-6800U OLED 16GB 1TB - Nowy FV23%,4600,https://www.olx.pl//d/oferta/asus-zenbook-s13-r7-6800u-oled-16gb-1tb-nowy-fv23-CID99-IDSZp4a.html,2023-03-12 01:09:13
"ASUS GL702VM ROG | i7-6700 | GTX1060 6GB | 17,3' FHD IPS | SSD | 16RAM",2900,https://www.olx.pl//d/oferta/asus-gl702vm-rog-i7-6700-gtx1060-6gb-17-3-fhd-ips-ssd-16ram-CID99-IDT0td7.html,2023-03-12 01:09:13
ASUS G752VT-T7008T i7-6700HQ/8GB/1TB/DVD/Win10 GTX970,2300,https://www.olx.pl//d/oferta/asus-g752vt-t7008t-i7-6700hq-8gb-1tb-dvd-win10-gtx970-CID99-IDQEjMZ.html,2023-03-12 01:09:13
MSI GE62 Apache i7-6700HQ/12GB/256 GB SSD/ GTX960M FHD,1850,https://www.olx.pl//d/oferta/msi-ge62-apache-i7-6700hq-12gb-256-gb-ssd-gtx960m-fhd-CID99-IDS9Dtd.html,2023-03-12 01:09:13
"OKAZJA!!! Laptop HP 650 G2 15,6"" Intel Core i7-6600U 8GB 256GB W10",1799,https://www.olx.pl//d/oferta/okazja-laptop-hp-650-g2-15-6-intel-core-i7-6600u-8gb-256gb-w10-CID99-IDMQSlK.html,2023-03-12 01:09:13
"Laptop Dell XPS 9550 15"" i7-6700HQ/256SSD/16GB/IPS/GTX 960M",2999,https://www.olx.pl//d/oferta/laptop-dell-xps-9550-15-i7-6700hq-256ssd-16gb-ips-gtx-960m-CID99-IDNBIGf.html,2023-03-12 01:09:13
Dell Precision M6800 i7 32GB SSD512GB FHD 4G GPS pakiet office,2899,https://www.olx.pl//d/oferta/dell-precision-m6800-i7-32gb-ssd512gb-fhd-4g-gps-pakiet-office-CID99-IDPU3gp.html,2023-03-12 01:09:13
Laptop Gamingowy MSI GL62 i7-6700HQ GTX960m 16GB 1TB+250GB WIN10,1200,https://www.olx.pl//d/oferta/laptop-gamingowy-msi-gl62-i7-6700hq-gtx960m-16gb-1tb-250gb-win10-CID99-IDT42wb.html,2023-03-12 01:09:13
GTX970 laptop Gaming m2 ddr4 i7 6700HQ nvidia pc do gra csgo m GEFORCE,1650,https://www.olx.pl//d/oferta/gtx970-laptop-gaming-m2-ddr4-i7-6700hq-nvidia-pc-do-gra-csgo-m-geforce-CID99-IDT7cCT.html,2023-03-12 01:09:13
"MSI GE72 VR Apache Pro 17,3” i7 6700HQ 16GB 1060 GTX 120Hz",2250,https://www.olx.pl//d/oferta/msi-ge72-vr-apache-pro-17-3-i7-6700hq-16gb-1060-gtx-120hz-CID99-IDT0KYq.html,2023-03-12 01:09:13
Laptop Gamingowy MSI GE62 Apache Pro i7-6700HQ GTX970M 16GB RAM,1800,https://www.olx.pl//d/oferta/laptop-gamingowy-msi-ge62-apache-pro-i7-6700hq-gtx970m-16gb-ram-CID99-IDT44NV.html,2023-03-12 01:09:13
Msi i7 6700h GTX970  8GBDDR4 SSD240 Folia na klapie wysyłam,1748,https://www.olx.pl//d/oferta/msi-i7-6700h-gtx970-8gbddr4-ssd240-folia-na-klapie-wysylam-CID99-IDKH051.html,2023-03-12 01:09:13
"Laptop MSI i7-6700, 8GB RAM, GeForce GTX 950M, dysk SSD i HDD",1500,https://www.olx.pl//d/oferta/laptop-msi-i7-6700-8gb-ram-geforce-gtx-950m-dysk-ssd-i-hdd-CID99-IDTwhXM.html,2023-03-12 01:09:13
MSI Gl62 I7 6700h 16GBRam FullHd GTX 2gb Wysyłam OKAZJA,1549,https://www.olx.pl//d/oferta/msi-gl62-i7-6700h-16gbram-fullhd-gtx-2gb-wysylam-okazja-CID99-IDLEmDL.html,2023-03-12 01:09:13
"Hyperbook SL701 17.3"" i7 6700HQ 32gb RAM 500GB SSD GTX 970m 6GB",2850,https://www.olx.pl//d/oferta/hyperbook-sl701-17-3-i7-6700hq-32gb-ram-500gb-ssd-gtx-970m-6gb-CID99-IDPyudO.html,2023-03-12 01:09:13
Laptop MSI GE72VR Apache Pro i7-6700HQ/16GB/SSD 250GB/HDD 1TB GTX 1060,2500,https://www.olx.pl//d/oferta/laptop-msi-ge72vr-apache-pro-i7-6700hq-16gb-ssd-250gb-hdd-1tb-gtx-1060-CID99-IDRpk08.html,2023-03-12 01:09:13
MSI ge62 6qf 32gb ram intel i7-6700HQ,2400,https://www.olx.pl//d/oferta/msi-ge62-6qf-32gb-ram-intel-i7-6700hq-CID99-IDTmsyM.html,2023-03-12 01:09:13
